id,state,abbr,perc_debt_med,perc_debt_med_nw,perc_debt_med_wh,med_debt_med,med_debt_med_nw,med_debt_med_wh,perc_pop_no_ins,perc_pop_no_ins_nw,perc_pop_no_ins_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
,USA,,.1456881,.1717761,.1320481,797,854,758,.1247275,.1825747,.086284,.3977581,87864,73435,94972
01,Alabama,AL,.1931399,.274528,.1732075,1000,1113,936,.1545611,.2040696,.1282553,.3469204,69091,49055,78702
02,Alaska,AK,.1463462,.0913907,.1262458,1313,573,1343,.1643071,.2241217,.1284305,.3988593,96080,77081,104992
04,Arizona,AZ,.1605858,.2181645,.1272627,942,979,897,.1459036,.2092327,.0906622,.4569936,80477,66743,87985
05,Arkansas,AR,.2000561,.2315341,.1937327,662,725,656,.1202857,.1849926,.0955368,.2786021,66766,49546,72151
06,California,CA,.0875485,.0966025,.0737884,750,776,677,.1029419,.128897,.0576098,.6335551,107384,92375,124240
08,Colorado,CO,.1266085,.215096,.1053386,748,635,771,.101818,.1699975,.0712248,.3224251,96218,76117,103075
09,Connecticut,CT,.1118364,.169557,.0874601,560,585,515,.0759551,.1392648,.042995,.3372914,111303,77959,124434
10,Delaware,DE,.1812786,.3038578,.1514226,799,949,747,.0807881,.1107574,.0618712,.3815933,84896,71994,91356
11,District of Columbia,DC,.072756,.097337,.0250559,607,658,685,.0402801,.0596703,.0128844,.630765,124946,79036,191228
12,Florida,FL,.1795107,.1993791,.161398,1065,1101,1036,.191435,.2342039,.1499798,.4673887,79968,66488,88508
13,Georgia,GA,.1859255,.2133827,.1707257,952,919,1000,.1893828,.2335274,.1488968,.4777492,82489,66241,94765
15,Hawaii,HI,.0694005,.0687447,.0583333,455,459,n/a*,.0586187,.0621334,.0457282,.7829096,103162,100374,109934
16,Idaho,ID,.1258236,.2575758,.1220703,1013,n/a*,1039,.1651121,.298678,.1358605,.1822731,73369,60588,75372
17,Illinois,IL,.1453649,.2041864,.1273361,644,633,653,.099171,.1591324,.0610041,.390889,91424,72297,100632
18,Indiana,IN,.1915442,.3103909,.1776645,813,713,838,.1097236,.1824078,.0907669,.2130333,73733,56730,77392
19,Iowa,IA,.106213,.1428571,.102617,605,n/a*,605,.0687078,.1646804,.0528014,.1459255,77173,59679,79183
20,Kansas,KS,.1808382,.3088235,.1594872,824,831,818,.1262722,.2293226,.0939605,.24378,78972,61595,83132
21,Kentucky,KY,.1859536,.3555736,.1787699,501,570,498,.0785614,.1484286,.0663925,.1549429,69724,55325,71937
22,Louisiana,LA,.2312626,.2807251,.2094722,853,841,881,.118565,.1552756,.0934219,.4161402,69225,47972,82207
23,Maine,ME,.1801662,n/a**,.1800564,919,n/a**,924,.1153472,.1750559,.1109603,.0697869,73935,72288,74017
24,Maryland,MD,.1219904,.1511186,.1052619,530,568,490,.0835449,.1273841,.0394152,.4977181,109774,92507,123396
25,Massachusetts,MA,.0493374,.0756579,.0447436,402,426,397,.0392733,.0611727,.0300309,.2926235,110501,89501,117093
26,Michigan,MI,.1452761,.2217209,.133293,492,485,497,.0763519,.1027293,.0676877,.2520898,77682,60767,82444
27,Minnesota,MN,.0240079,.0441018,.0226548,425,473,409,.0591652,.1272329,.042397,.2059801,93047,73390,96451
28,Mississippi,MS,.1918965,.2242747,.1736564,866,982,817,.1864956,.2262586,.1555085,.4360425,61944,44399,73896
29,Missouri,MO,.1929489,.3585114,.1733492,877,1144,839,.1342934,.1901843,.1201645,.2071799,75013,58778,78712
30,Montana,MT,.130181,.2709678,.1242006,815,1027,809,.1157574,.1989344,.1032197,.1413012,72648,55557,74586
31,Nebraska,NE,.076882,.1429563,.0672184,745,593,740,.1178762,.2412634,.0856065,.2145928,78793,62023,82013
32,Nevada,NV,.1868387,.2327642,.1534699,909,841,1055,.1507094,.2029129,.0943606,.5156878,81039,68217,90510
33,New Hampshire,NH,.0802979,n/a**,.0801354,537,n/a**,530,.0837808,.1443006,.0770322,.102245,97994,88792,98728
34,New Jersey,NJ,.1305638,.193311,.0981153,531,553,500,.1050323,.1622844,.0554067,.4539459,114853,94944,127938
35,New Mexico,NM,.1802036,.2033208,.1234932,741,726,750,.1398799,.1788695,.0704494,.631083,66752,53554,82553
36,New York,NY,.0648231,.0573658,.0706222,484,450,496,.0766484,.1134465,.0458887,.4476394,100422,80260,113246
37,North Carolina,NC,.2076762,.2588633,.1856823,708,680,726,.1565272,.2225568,.1178808,.3734388,76693,58506,85476
38,North Dakota,ND,.0611893,.0955414,.0599928,562,n/a*,550,.0944903,.2223228,.0696364,.1619902,82435,61756,85463
39,Ohio,OH,.1694579,.2251784,.1607106,678,696,669,.0880448,.1329165,.0762898,.2144721,76151,55171,81166
40,Oklahoma,OK,.2266455,.3493406,.2075501,1176,1287,1148,.204836,.2989351,.1570506,.348132,71632,58678,76778
41,Oregon,OR,.0617407,n/a*,.0588328,625,n/a*,642,.1024784,.1755498,.0783003,.2489101,85235,76777,87162
42,Pennsylvania,PA,.1150749,.1622202,.1083066,583,585,582,.0753453,.1198781,.0614372,.2407869,83765,63698,88674
44,Rhode Island,RI,.0609933,.0823571,.0550381,584,595,568,.0572723,.0972453,.0413307,.2859365,86601,62664,93533
45,South Carolina,SC,.249217,.3095846,.2220382,957,883,997,.15845,.2118021,.1281303,.3647301,72742,51576,82861
46,South Dakota,SD,.0417372,.0857143,.039522,726,n/a*,726,.141825,.3565719,.0957779,.1852704,74046,50788,77365
47,Tennessee,TN,.2048953,.3010349,.1973587,996,1143,986,.1470776,.2206414,.1212093,.2636867,73456,56953,78481
48,Texas,TX,.2267074,.2526,.2008582,1068,1122,1025,.2403097,.3105775,.1418909,.5860455,85780,68463,103785
49,Utah,UT,.1365655,.2504892,.1288682,1012,979,1024,.1216151,.2532652,.0845,.2218256,91096,72205,95098
50,Vermont,VT,.0542008,n/a*,.0538934,581,n/a*,574,.0584127,.0841318,.0564876,.0740142,79514,63619,80495
51,Virginia,VA,.1648413,.2422095,.1465853,790,921,743,.1227888,.1764849,.0887252,.3866532,100884,85925,108286
53,Washington,WA,.0535447,.0642735,.0493592,604,655,577,.0935282,.1557783,.0644146,.3217156,99762,92813,102119
54,West Virginia,WV,.2699997,n/a*,.2697438,669,n/a*,662,.0960224,.1390848,.0926036,.0797743,61707,57060,62030
55,Wisconsin,WI,.1102886,.2330379,.0987692,904,888,905,.0756571,.1641355,.0561964,.1902448,79656,59800,83030
56,Wyoming,WY,.1828445,.5490196,.1798819,1563,n/a*,1535,.1482266,.239078,.1316565,.1604484,81935,72035,83387