id,state,abbr,pct_debt_collections,pct_debt_collections_nw,pct_debt_collections_wh,median_debt_in_collections,median_debt_in_collections_nw,median_debt_in_collections_wh,pct_w_medical_debt_in_collections,pct_w_medical_debt_in_collections_nw,pct_w_medical_debt_in_collections_wh,pct_student_holders_in_default,pct_student_holders_in_default_nw,pct_student_holders_in_default_wh,auto_retail_loan_delinquency_rate,auto_retail_loan_delinquency_rate_nw,auto_retail_loan_delinquency_rate_wh,credit_card_debt_delinquency_rate,credit_card_debt_delinquency_rate_nw,credit_card_debt_delinquency_rate_wh,median_credit_card_delinquent_debt,median_credit_card_delinquent_debt_nw,median_credit_card_delinquent_debt_wh,pct_poc,avg_household_income,avg_household_income_nw,avg_household_income_wh
,USA,,.2876269,.3883469,.2420738,1835,1887,1776,.1456881,.1717761,.1320481,.1022991,.1386068,.0860682,.03576,.0568293,.0273664,.031331,.0467351,.0257764,589,570,596,.3977581,87864,73435,94972
01,Alabama,AL,.3691685,.5537059,.3217813,1931,1983,1912,.1931399,.274528,.1732075,.1215847,.1900296,.1000264,.0600355,.1069519,.0495543,.0384887,.0669014,.0338654,469,447,478,.3469204,69091,49055,78702
02,Alaska,AK,.2659615,.3165563,.2179771,2120,1273,2326,.1463462,.0913907,.1262458,.1180304,.1527778,.1041968,.0208571,.005618,.0188375,.0247798,.0430464,.0177296,575,n/a*,704,.3988593,96080,77081,104992
04,Arizona,AZ,.3029064,.4480186,.228988,2042,1975,2044,.1605858,.2181645,.1272627,.1213513,.1679594,.0983717,.0363853,.0615797,.0238879,.0325591,.0542747,.0246905,624,502,683,.4569936,80477,66743,87985
05,Arkansas,AR,.3725123,.5642046,.3451979,1656,1870,1634,.2000561,.2315341,.1937327,.126105,.1964529,.1135115,.0475315,.088488,.0424576,.0454874,.0919719,.0419501,485,396,492,.2786021,66766,49546,72151
06,California,CA,.2319979,.2753701,.165214,1882,1906,1695,.0875485,.0966025,.0737884,.0970441,.113215,.0733995,.0277495,.0352921,.0150831,.027788,.0344088,.0197053,734,692,791,.6335551,107384,92375,124240
08,Colorado,CO,.2321061,.3871073,.1935272,1645,1396,1689,.1266085,.215096,.1053386,.09165,.1327434,.0785635,.0246247,.0455946,.0196281,.0255889,.041622,.0221288,600,556,604,.3224251,96218,76117,103075
09,Connecticut,CT,.245309,.4307355,.1811293,1516,1439,1540,.1118364,.169557,.0874601,.0786755,.1435407,.0583074,.0239724,.0588906,.0160186,.0290975,.0622757,.021662,601,492,709,.3372914,111303,77959,124434
10,Delaware,DE,.3092618,.4963156,.2549169,1847,1867,1650,.1812786,.3038578,.1514226,.0916569,.1471264,.0722333,.0332644,.0587544,.0266861,.0311586,.0380531,.028065,600,n/a*,642,.3815933,84896,71994,91356
11,District of Columbia,DC,.25748,.3627181,.0742729,1592,1627,1281,.072756,.097337,.0250559,.1101952,.1380915,.0452962,.0600162,.0817439,.0112045,.0342246,.0500345,.013089,418,405,n/a*,.630765,124946,79036,191228
12,Florida,FL,.3253363,.3923959,.2771631,2247,2332,2185,.1795107,.1993791,.161398,.1127103,.1287293,.0986531,.0350124,.0477873,.0277034,.0400494,.055651,.0311114,671,681,672,.4673887,79968,66488,88508
13,Georgia,GA,.3657007,.4696203,.3056772,1968,2049,1915,.1859255,.2133827,.1707257,.1173789,.1483858,.0933416,.0511375,.0718616,.0396147,.0437618,.0666848,.0336079,475,463,547,.4777492,82489,66241,94765
15,Hawaii,HI,.1842391,.1836571,.225,1927,1930,n/a*,.0694005,.0687447,.0583333,.094407,.0908672,.375,.0324845,.0347323,.0232558,.0249666,.0253828,.0307692,1019,1173,n/a*,.7829096,103162,100374,109934
16,Idaho,ID,.214063,.4393939,.2081827,2227,n/a*,2257,.1258236,.2575758,.1220703,.0893306,.125,.0876857,.0234039,0,.0228593,.0250375,.0909091,.0243756,671,n/a*,662,.1822731,73369,60588,75372
17,Illinois,IL,.2740316,.4414821,.2215007,1489,1463,1521,.1453649,.2041864,.1273361,.094284,.159282,.0731924,.0350042,.0651144,.0275345,.0287729,.0543155,.0225097,582,462,627,.390889,91424,72297,100632
18,Indiana,IN,.3071286,.5223355,.2800725,1873,1862,1873,.1915442,.3103909,.1776645,.1181763,.1931483,.1065601,.034494,.0761384,.030181,.0322558,.0607375,.0295117,482,448,501,.2130333,73733,56730,77392
19,Iowa,IA,.2182375,.484472,.2105788,1632,899,1669,.106213,.1428571,.102617,.0910822,.1851852,.0880253,.0203624,.0434783,.0197545,.0235849,.0677966,.0228571,497,n/a*,501,.1459255,77173,59679,79183
20,Kansas,KS,.2736325,.4702296,.2406123,1706,1421,1740,.1808382,.3088235,.1594872,.115019,.250774,.1027079,.0249511,.0429836,.0216785,.0266667,.0583174,.0230773,488,467,477,.24378,78972,61595,83132
21,Kentucky,KY,.3483787,.6810415,.3330125,1296,1037,1305,.1859536,.3555736,.1787699,.1243239,.1759657,.1214826,.04029,.0830325,.0379543,.0360674,.1107383,.0342883,483,n/a*,488,.1549429,69724,55325,71937
22,Louisiana,LA,.4088618,.5430431,.3520702,1910,1945,1916,.2312626,.2807251,.2094722,.1282009,.1613013,.1088,.0625704,.0928543,.0504634,.041112,.0569395,.0357174,488,465,525,.4161402,69225,47972,82207
23,Maine,ME,.271619,n/a**,.2712178,1671,n/a**,1673,.1801662,n/a**,.1800564,.0780106,n/a**,.0773734,.0196478,n/a**,.0195016,.0254758,n/a**,.0253961,541,n/a**,551,.0697869,73935,72288,74017
24,Maryland,MD,.2699003,.3601567,.2098622,1608,1708,1512,.1219904,.1511186,.1052619,.0981252,.1203555,.0756206,.0354514,.0487504,.0269656,.0333285,.0496907,.024031,539,496,585,.4977181,109774,92507,123396
25,Massachusetts,MA,.188484,.3469481,.1580765,1564,1455,1630,.0493374,.0756579,.0447436,.0662762,.1227907,.0545886,.0212148,.0488408,.0170261,.026084,.0511505,.0217158,556,470,634,.2926235,110501,89501,117093
26,Michigan,MI,.2812913,.5642082,.2408747,1505,1812,1412,.1452761,.2217209,.133293,.1181765,.2460293,.0960367,.0326146,.1150618,.0243696,.0252436,.0649417,.0219709,514,437,555,.2520898,77682,60767,82444
27,Minnesota,MN,.1415839,.3262818,.1304001,1719,1868,1699,.0240079,.0441018,.0226548,.0692816,.1664025,.0633376,.017229,.0478261,.0158096,.0200132,.0325444,.0191995,652,n/a*,679,.2059801,93047,73390,96451
28,Mississippi,MS,.3833123,.5078807,.3239166,1803,1809,1829,.1918965,.2242747,.1736564,.1410783,.1829806,.1142546,.0668695,.0958277,.0551504,.0538346,.0839589,.0454885,474,446,546,.4360425,61944,44399,73896
29,Missouri,MO,.3193906,.6146106,.2835187,2004,2295,1948,.1929489,.3585114,.1733492,.1103515,.1850847,.0998143,.0404596,.0985482,.0345227,.0302948,.0695716,.0277177,499,375,518,.2071799,75013,58778,78712
30,Montana,MT,.2191498,.5225806,.2080251,1757,1884,1732,.130181,.2709678,.1242006,.101841,.25,.0969872,.02135,.1158537,.0187337,.0227686,.0454545,.0227341,523,n/a*,576,.1413012,72648,55557,74586
31,Nebraska,NE,.1924887,.3948647,.1696705,2055,1995,2123,.076882,.1429563,.0672184,.0640829,.1479592,.059594,.0198492,.0497925,.0172316,.0267464,.0660377,.0247734,547,n/a*,567,.2145928,78793,62023,82013
32,Nevada,NV,.3488297,.4604838,.2577577,2150,1969,2192,.1868387,.2327642,.1534699,.1413809,.1998931,.1031208,.0397414,.0630851,.0235776,.0417942,.0577351,.029236,679,678,702,.5156878,81039,68217,90510
33,New Hampshire,NH,.193447,n/a**,.1933495,1680,n/a**,1679,.0802979,n/a**,.0801354,.0728133,n/a**,.0725624,.0203149,n/a**,.0203483,.0245173,n/a**,.0245619,625,n/a**,622,.102245,97994,88792,98728
34,New Jersey,NJ,.2435204,.366771,.1793924,1352,1286,1430,.1305638,.193311,.0981153,.082386,.1268945,.0592793,.0243232,.0463417,.0159936,.0270632,.0436192,.0204061,675,604,801,.4539459,114853,94944,127938
35,New Mexico,NM,.3437297,.4012792,.2244843,1722,1658,1776,.1802036,.2033208,.1234932,.1345099,.1536896,.1069869,.0510801,.0628057,.0241245,.0332022,.037414,.0224346,600,598,690,.631083,66752,53554,82553
36,New York,NY,.2197337,.2928439,.1813428,1734,1725,1789,.0648231,.0573658,.0706222,.0882798,.1247965,.0690921,.0264312,.0449635,.0197139,.0299523,.0469271,.0221817,678,630,686,.4476394,100422,80260,113246
37,North Carolina,NC,.3429797,.4606518,.2965595,1593,1676,1533,.2076762,.2588633,.1856823,.1027857,.1355422,.084192,.0472596,.0732357,.0365737,.0411117,.0663336,.0338375,570,484,617,.3734388,76693,58506,85476
38,North Dakota,ND,.1680331,.4171975,.1601012,1786,993,1870,.0611893,.0955414,.0599928,.0790274,.030303,.0803339,.0219069,.0545455,.0208198,.0229609,.0412371,.022543,526,n/a*,545,.1619902,82435,61756,85463
39,Ohio,OH,.3154492,.5643317,.2799854,1501,1459,1507,.1694579,.2251784,.1607106,.1082899,.1928917,.0938154,.0349403,.0881251,.0290993,.031109,.06288,.0278606,489,397,511,.2144721,76151,55171,81166
40,Oklahoma,OK,.3688354,.5610849,.3359868,2227,2216,2211,.2266455,.3493406,.2075501,.1425439,.2758621,.1241328,.04703,.0733391,.043046,.0362865,.0621277,.0336131,492,490,499,.348132,71632,58678,76778
41,Oregon,OR,.1866558,n/a*,.1797387,1532,n/a*,1551,.0617407,n/a*,.0588328,.103497,n/a*,.0990239,.0186668,n/a*,.0178903,.0225642,n/a*,.0220867,590,n/a*,590,.2489101,85235,76777,87162
42,Pennsylvania,PA,.2604663,.5217671,.2240065,1795,1756,1809,.1150749,.1622202,.1083066,.0981908,.2002691,.0807432,.0247803,.057558,.0210511,.02754,.0611369,.0244009,546,414,583,.2407869,83765,63698,88674
44,Rhode Island,RI,.2417929,.3805467,.2087599,1681,1547,1732,.0609933,.0823571,.0550381,.0896414,.136612,.0793718,.0285364,.0483871,.0235344,.0271296,.0500686,.0223044,540,458,608,.2859365,86601,62664,93533
45,South Carolina,SC,.4020686,.556701,.3455747,2119,2047,2159,.249217,.3095846,.2220382,.1221579,.1705943,.1025176,.059129,.1036735,.0443152,.0377171,.0537578,.0319786,483,454,520,.3647301,72742,51576,82861
46,South Dakota,SD,.1631947,.4769231,.1494181,2185,1707,2212,.0417372,.0857143,.039522,.0638465,.12,.0632603,.0213683,.0935252,.0194118,.0256162,.0560748,.0252928,528,n/a*,542,.1852704,74046,50788,77365
47,Tennessee,TN,.3441788,.5728421,.3141896,1959,2250,1920,.2048953,.3010349,.1973587,.1201452,.1864935,.1090674,.0449208,.1094474,.0379989,.0348322,.0710959,.0311027,484,404,498,.2636867,73456,56953,78481
48,Texas,TX,.4067309,.4934485,.3192005,2131,2104,2157,.2267074,.2526,.2008582,.1095575,.1281601,.0896542,.0557481,.0750245,.0366609,.0379915,.0490734,.029764,599,566,671,.5860455,85780,68463,103785
49,Utah,UT,.2100025,.4050881,.1971824,1992,1727,2049,.1365655,.2504892,.1288682,.0875298,.1775701,.0840989,.0259779,.0852941,.0237395,.0238324,.0481651,.0227407,571,n/a*,572,.2218256,91096,72205,95098
50,Vermont,VT,.1776529,n/a*,.1767859,1674,n/a*,1685,.0542008,n/a*,.0538934,.0620068,n/a*,.0619213,.0184641,n/a*,.0185541,.0208644,n/a*,.0210046,447,n/a*,443,.0740142,79514,63619,80495
51,Virginia,VA,.2694279,.3948532,.236859,1785,1930,1666,.1648413,.2422095,.1465853,.0876483,.1294795,.0700758,.0300678,.0430669,.0268086,.0271286,.0430098,.0234006,573,611,526,.3866532,100884,85925,108286
53,Washington,WA,.1746807,.2338462,.1606922,1846,1732,1808,.0535447,.0642735,.0493592,.0845836,.1082192,.0783573,.0193812,.0229258,.0181186,.0214089,.0300775,.0199348,605,626,622,.3217156,99762,92813,102119
54,West Virginia,WV,.4003136,n/a*,.3996366,1583,n/a*,1572,.2699997,n/a*,.2697438,.1280244,n/a*,.1277659,.0372826,n/a*,.0372769,.0380577,n/a*,.0379293,514,n/a*,520,.0797743,61707,57060,62030
55,Wisconsin,WI,.2094298,.5317848,.1806597,1687,1465,1743,.1102886,.2330379,.0987692,.0813667,.1826853,.0697472,.0262313,.085347,.0221979,.0190834,.0489284,.0175093,609,348,648,.1902448,79656,59800,83030
56,Wyoming,WY,.2605423,.7843137,.2569742,2532,n/a*,2532,.1828445,.5490196,.1798819,.0814053,0,.0842199,.0295107,.1428571,.0286326,.0246114,.2222222,.023837,646,n/a*,638,.1604484,81935,72035,83387