id,state,abbr,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
,USA,,.1583212,.1552945,.1587909,19825,18659,19926,.1022991,.1386068,.0860682,11646,11012,11972,160,143,164,.6739969,.7418751,.6366488,.3977581,87864,73435,94972
01,Alabama,AL,.1514803,.1884125,.1392856,19874,21375,18987,.1215847,.1900296,.1000264,10814,10205,11066,150,150,149,.7447053,.8044684,.7174718,.3469204,69091,49055,78702
02,Alaska,AK,.1327885,.0953642,.1275378,18278,17090,18348,.1180304,.1527778,.1041968,11644,NULL,13780,160,NULL,159,.6983062,.8191904,.6351945,.3988593,96080,77081,104992
04,Arizona,AZ,.1493991,.1389488,.145217,18269,14297,19904,.1213513,.1679594,.0983717,11354,9822,12163,147,113,159,.7028093,.8038029,.6392481,.4569936,80477,66743,87985
05,Arkansas,AR,.1561119,.2082386,.1500096,18226,20394,17696,.126105,.1964529,.1135115,11467,11052,11405,138,134,138,.7669193,.8349116,.7460594,.2786021,66766,49546,72151
06,California,CA,.119939,.119639,.1119072,17973,16176,20853,.0970441,.113215,.0733995,11467,10861,12963,150,133,174,.6579953,.7308088,.5558563,.6335551,107384,92375,124240
08,Colorado,CO,.1770046,.1602312,.1787097,20555,20359,20700,.09165,.1327434,.0785635,13726,12779,13447,163,150,168,.5832232,.7503626,.5203735,.3224251,96218,76117,103075
09,Connecticut,CT,.1803133,.1746761,.1790765,20169,18364,20733,.0786755,.1435407,.0583074,13587,11198,16045,170,141,181,.6040621,.7180123,.5567008,.3372914,111303,77959,124434
10,Delaware,DE,.1578459,.1885566,.144071,21178,22164,21237,.0916569,.1471264,.0722333,12799,12002,14417,168,161,174,.6866382,.7466317,.6570315,.3815933,84896,71994,91356
11,District of Columbia,DC,.2141795,.2367309,.1284116,28399,25840,38920,.1101952,.1380915,.0452962,14335,14335,NULL,236,210,306,.3958727,.6129614,.0741461,.630765,124946,79036,191228
12,Florida,FL,.1360638,.1444115,.1224914,20198,19365,20170,.1127103,.1287293,.0986531,11985,11593,12614,152,139,159,.6963017,.744852,.6607919,.4673887,79968,66488,88508
13,Georgia,GA,.1848061,.2293028,.1534799,22748,25194,20717,.1173789,.1483858,.0933416,11821,11512,12532,170,176,166,.6812872,.7327036,.6414984,.4777492,82489,66241,94765
15,Hawaii,HI,.1139796,.1157131,.0666667,18824,18865,NULL,.094407,.0908672,.375,13607,13900,NULL,160,159,NULL,.6649491,.70259,.5467868,.7829096,103162,100374,109934
16,Idaho,ID,.1550478,.1212121,.1555315,18378,NULL,18536,.0893306,.125,.0876857,12808,NULL,12960,145,NULL,146,.7234861,.8384389,.7039254,.1822731,73369,60588,75372
17,Illinois,IL,.1632987,.174078,.1564644,20458,19992,19985,.094284,.159282,.0731924,11777,11150,12052,166,146,168,.6493738,.7301013,.6063017,.390889,91424,72297,100632
18,Indiana,IN,.1742421,.205511,.1697973,19159,20953,18926,.1181763,.1931483,.1065601,11426,12705,11507,156,152,156,.7289402,.7684189,.7204883,.2130333,73733,56730,77392
19,Iowa,IA,.1886306,.1677019,.1894655,17738,NULL,17642,.0910822,.1851852,.0880253,13263,NULL,13272,149,NULL,149,.7099286,.7643687,.7032754,.1459255,77173,59679,79183
20,Kansas,KS,.1681855,.1158537,.1724462,18402,13830,18561,.115019,.250774,.1027079,9957,6963,10633,151,141,155,.6619576,.7737377,.6342588,.24378,78972,61595,83132
21,Kentucky,KY,.1618744,.189585,.1599863,18939,19425,18781,.1243239,.1759657,.1214826,11149,NULL,10903,147,137,147,.7519966,.7799091,.7478859,.1549429,69724,55325,71937
22,Louisiana,LA,.1684405,.2065369,.1532126,18055,20553,16594,.1282009,.1613013,.1088,11646,11873,11472,141,137,140,.757288,.8273346,.7145735,.4161402,69225,47972,82207
23,Maine,ME,.1808511,NULL,.1817215,18927,NULL,18886,.0780106,n/a**,.0773734,13770,NULL,13888,160,NULL,160,.6847105,.7069791,.6834245,.0697869,73935,72288,74017
24,Maryland,MD,.1713074,.2036378,.143728,23725,25443,21136,.0981252,.1203555,.0756206,12308,12477,12134,183,179,176,.591899,.6554275,.5372261,.4977181,109774,92507,123396
25,Massachusetts,MA,.1829613,.1964547,.1824875,20431,17452,20839,.0662762,.1227907,.0545886,12670,11582,13106,180,147,187,.5547008,.6408391,.5255591,.2926235,110501,89501,117093
26,Michigan,MI,.1751246,.2099516,.1691742,20377,19818,20270,.1181765,.2460293,.0960367,10464,9915,10640,159,143,160,.7042302,.7435359,.6932271,.2520898,77682,60767,82444
27,Minnesota,MN,.1952356,.226246,.1928487,19554,19051,19398,.0692816,.1664025,.0633376,12420,11299,12370,166,153,166,.632963,.7145468,.6173241,.2059801,93047,73390,96451
28,Mississippi,MS,.1838388,.227688,.1607557,18906,19206,17678,.1410783,.1829806,.1142546,10436,8887,11052,140,129,139,.768018,.8276607,.7286521,.4360425,61944,44399,73896
29,Missouri,MO,.1718995,.2033081,.1648991,20163,21238,19599,.1103515,.1850847,.0998143,13336,12961,13336,156,143,156,.7045286,.7446312,.695865,.2071799,75013,58778,78712
30,Montana,MT,.1505218,.1204301,.1519122,17380,7464,17801,.101841,.25,.0969872,10540,NULL,11556,151,NULL,153,.6827706,.7740588,.6713374,.1413012,72648,55557,74586
31,Nebraska,NE,.1739943,.1360167,.1771736,17996,12615,17998,.0640829,.1479592,.059594,11296,NULL,11299,156,115,158,.6756815,.7830782,.6537731,.2145928,78793,62023,82013
32,Nevada,NV,.1279857,.1210063,.1201565,16290,12925,18386,.1413809,.1998931,.1031208,10338,8990,11445,132,100,153,.7511016,.8096479,.7021431,.5156878,81039,68217,90510
33,New Hampshire,NH,.1909928,NULL,.1914395,20990,NULL,21080,.0728133,n/a**,.0725624,11194,NULL,11187,182,NULL,183,.6316459,.6461248,.630366,.102245,97994,88792,98728
34,New Jersey,NJ,.1691277,.1633544,.1696342,21179,18667,22212,.082386,.1268945,.0592793,12290,11448,13391,179,147,194,.5920354,.6501631,.5501194,.4539459,114853,94944,127938
35,New Mexico,NM,.1297379,.1269544,.1226895,18175,15968,21105,.1345099,.1536896,.1069869,10081,9103,NULL,146,128,177,.7234612,.8310031,.5795573,.631083,66752,53554,82553
36,New York,NY,.1614459,.1542308,.1717317,20830,19896,21030,.0882798,.1247965,.0690921,11486,11596,11111,171,155,177,.6276084,.7163994,.5636032,.4476394,100422,80260,113246
37,North Carolina,NC,.1591463,.2111288,.1437817,21510,24187,20430,.1027857,.1355422,.084192,13269,11599,13496,163,172,161,.6808286,.7584783,.6427181,.3734388,76693,58506,85476
38,North Dakota,ND,.1703633,.1050955,.173202,16824,NULL,16866,.0790274,.030303,.0803339,13767,NULL,13767,142,NULL,142,.7032424,.7705299,.6929604,.1619902,82435,61756,85463
39,Ohio,OH,.1852614,.2144391,.1804377,20919,20969,20661,.1082899,.1928917,.0938154,12309,11358,12717,164,147,165,.7102778,.7602195,.6990603,.2144721,76151,55171,81166
40,Oklahoma,OK,.1505249,.1370988,.1510692,17286,16331,17654,.1425439,.2758621,.1241328,10066,9893,10213,140,111,143,.7437652,.8024247,.7198313,.348132,71632,58678,76778
41,Oregon,OR,.1601093,NULL,.1606272,21033,NULL,21078,.103497,n/a*,.0990239,13254,NULL,12746,163,NULL,165,.6604289,.7345918,.641858,.2489101,85235,76777,87162
42,Pennsylvania,PA,.1988057,.239358,.1924951,21772,19745,22056,.0981908,.2002691,.0807432,11339,9913,12077,174,144,179,.6817565,.7398847,.6669608,.2407869,83765,63698,88674
44,Rhode Island,RI,.1824349,.1948882,.1813563,18993,16001,19563,.0896414,.136612,.0793718,11630,10641,11736,161,131,167,.6561865,.7680131,.6217937,.2859365,86601,62664,93533
45,South Carolina,SC,.1719232,.1992447,.1659828,21523,24493,20794,.1221579,.1705943,.1025176,12784,9866,14295,160,167,160,.7167141,.8218849,.6661991,.3647301,72742,51576,82861
46,South Dakota,SD,.1879279,.1098901,.1926111,18249,14241,18390,.0638465,.12,.0632603,13353,NULL,12961,156,NULL,157,.7076469,.8273155,.6882911,.1852704,74046,50788,77365
47,Tennessee,TN,.1536645,.2189241,.1381499,19683,20345,18516,.1201452,.1864935,.1090674,12097,10909,11965,156,150,152,.7251726,.7685912,.7124367,.2636867,73456,56953,78481
48,Texas,TX,.1496722,.1493998,.1431255,18036,16513,19398,.1095575,.1281601,.0896542,10827,10670,10928,146,129,162,.69688,.7753946,.6071103,.5860455,85780,68463,103785
49,Utah,UT,.1318932,.1046967,.135148,16096,12210,16302,.0875298,.1775701,.0840989,8961,NULL,9839,143,140,142,.6514534,.7706718,.6231812,.2218256,91096,72205,95098
50,Vermont,VT,.1689846,NULL,.1684046,22004,NULL,21913,.0620068,n/a*,.0619213,17237,NULL,16898,186,NULL,184,.6128764,.5046583,.6198366,.0740142,79514,63619,80495
51,Virginia,VA,.1659328,.1921492,.1516598,21866,22403,21813,.0876483,.1294795,.0700758,11678,12653,12224,174,167,174,.6065863,.6752813,.5692313,.3866532,100884,85925,108286
53,Washington,WA,.1358448,.1247863,.1396489,18684,16766,18854,.0845836,.1082192,.0783573,11753,10456,12029,157,150,158,.633158,.6688213,.6198178,.3217156,99762,92813,102119
54,West Virginia,WV,.1516944,NULL,.152753,18396,NULL,18436,.1280244,n/a*,.1277659,11591,NULL,11591,144,NULL,145,.7867684,.7763644,.7874997,.0797743,61707,57060,62030
55,Wisconsin,WI,.1693977,.2082824,.1664168,17573,19277,17352,.0813667,.1826853,.0697472,11783,10317,12310,152,144,153,.6998824,.7867914,.6846579,.1902448,79656,59800,83030
56,Wyoming,WY,.1291644,.1176471,.1305707,15256,NULL,14968,.0814053,0,.0842199,5746,NULL,5746,153,NULL,149,.7314339,.8281523,.7159022,.1604484,81935,72035,83387