"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"USA","USA",NA,0.1989764,0.2457578,0.1716002,1130,1264,1018,0.0970407,0.1031054,0.0919108,0.0267368,0.0422499,0.0203069,0.0617195,0.089663,0.0465909,0.0444689,0.0632897,0.0352028,275,271,275
"01","Alabama","AL",0.2723252,0.4113573,0.2260949,1234,1458,1146.5,0.1403188,0.2142198,0.1201559,0.0284171,0.0454545,0.0220264,0.0997999,0.1829085,0.0768078,0.0640492,0.1278649,0.0480516,253,219,268
"02","Alaska","AK",0.1218097,0.1445087,0.101227,1383,NA,960,0.0382831,0.0462428,0.0398773,0.0232558,NA,0.0103627,0.0339559,NA,0.028754,0.029106,0.0422535,0.028021,NA,NA,NA
"04","Arizona","AZ",0.2089737,0.2638394,0.1587721,1311,1437,1157,0.0885013,0.0982519,0.077719,0.0383752,0.0412044,0.0309099,0.0605064,0.0779088,0.0425109,0.0450957,0.0654174,0.0318287,345,293.5,359
"05","Arkansas","AR",0.2918752,0.3951165,0.2706956,1025,1214.5,977,0.1489159,0.1709212,0.1455776,0.0380304,0.0371901,0.0356589,0.0821168,0.1169811,0.0744986,0.0730906,0.0911765,0.0685755,239,NA,246.5
"06","California","CA",0.137475,0.1550607,0.1038479,1094,1160,853,0.0490869,0.0500905,0.0509636,0.0319154,0.0404989,0.0189197,0.0493845,0.0574354,0.0296999,0.032512,0.039188,0.0203532,299,288,363
"08","Colorado","CO",0.1796238,0.2658812,0.1515799,1043,1036,986,0.0945625,0.1398566,0.082342,0.0250384,0.042654,0.021636,0.0428351,0.0507937,0.0417537,0.0356274,0.0637681,0.0276183,251.5,252,269.5
"09","Connecticut","CT",0.1393467,0.2417134,0.0931013,908,952.5,783,0.0562381,0.0744518,0.0457875,0.0184078,0.0358891,0.0116048,0.0348182,0.0632603,0.0244898,0.0403587,0.0857143,0.0243962,327,313,299.5
"10","Delaware","DE",0.2185995,0.3492823,0.1585873,1056.5,1176,1059,0.1159689,0.1913876,0.0872576,0.0337458,0.0757576,0.028169,0.0662069,0.0480769,0.056,0.0469799,0.0673077,0.032967,336,NA,NA
"11","District of Columbia","DC",0.160826,0.2469304,0.0600522,1383,1551,NA,0.0469337,0.0627558,0.0261097,0.047619,0.0769231,0.0092593,0.1421569,0.175,NA,0.0634921,0.130303,0.0111111,247.5,NA,NA
"12","Florida","FL",0.2271132,0.2438072,0.2086051,1335.5,1450,1158.5,0.1150898,0.110309,0.1138443,0.0346417,0.0399083,0.0304441,0.0609675,0.0777137,0.0458422,0.0529879,0.0654513,0.0416789,274,274,298
"13","Georgia","GA",0.2593917,0.3251371,0.2119767,1298,1423,1139,0.1356823,0.1531152,0.1242121,0.0343161,0.0505602,0.0204862,0.0903914,0.1289308,0.0622318,0.0669343,0.1070485,0.0426611,278,268,309
"15","Hawaii","HI",0.1231095,0.119706,NA,1112,1226.5,NA,0.0387175,0.0381519,NA,0.0259434,0.0199734,NA,0.032666,0.0304507,NA,0.0231601,0.0232005,NA,NA,NA,NA
"16","Idaho","ID",0.1729749,NA,0.1712077,1197,NA,1222,0.0996526,NA,0.0983575,0.0165349,NA,0.0164918,0.0478395,NA,0.0480087,0.0325497,NA,0.0323071,282,NA,286
"17","Illinois","IL",0.1969055,0.2910053,0.1641115,1053,1193,959,0.1093888,0.1460318,0.0970134,0.0260992,0.0545455,0.0170765,0.0728693,0.1008478,0.0627023,0.0415716,0.0826735,0.0285318,239.5,228,246
"18","Indiana","IN",0.2359701,0.3634697,0.2179003,1062,1287,1028,0.1340959,0.1875382,0.1263847,0.0350584,0.0812065,0.030303,0.0549236,0.1346578,0.0445768,0.0450533,0.0981013,0.0399265,236,189.5,238
"19","Iowa","IA",0.176989,0.2580645,0.1703806,945.5,NA,916,0.0680086,0.0322581,0.0665999,0.0223383,NA,0.0210716,0.0392459,NA,0.0403226,0.033557,NA,0.0319066,271,NA,275
"20","Kansas","KS",0.2324529,0.3782384,0.2001577,1027,1017,877,0.1522377,0.2469776,0.1367508,0.0326366,0.0803571,0.0264757,0.0494881,0.0714286,0.0425411,0.0374743,0.0677966,0.0314221,318,NA,332
"21","Kentucky","KY",0.265914,0.4709677,0.2517592,961,1544,925.5,0.1307859,0.2451613,0.1257819,0.0351251,NA,0.0335788,0.0704698,NA,0.068205,0.0586522,NA,0.0533247,282.5,NA,274
"22","Louisiana","LA",0.2763223,0.3890756,0.2305833,1156.5,1225,1082,0.1182238,0.1340336,0.1127229,0.0328266,0.046729,0.026661,0.0920941,0.1625,0.0670849,0.0664962,0.1080214,0.0559642,249,244,237
"23","Maine","ME",0.1427661,NA,0.1430396,746.5,NA,746.5,0.0752071,NA,0.0753512,0.014881,NA,0.0149031,0.0248329,NA,0.0248804,0.0297226,NA,0.0297619,NA,NA,NA
"24","Maryland","MD",0.1652201,0.2246139,0.1169116,1000,1112,813,0.0694988,0.0834703,0.0626795,0.0290488,0.0452944,0.0193548,0.0603973,0.0894737,0.0350515,0.0447573,0.0698462,0.0282236,295,339,194.5
"25","Massachusetts","MA",0.0928148,0.1748092,0.0736927,967,1071.5,867,0.0238475,0.0305344,0.0230933,0.0114747,0.0293501,0.0095309,0.0353376,0.0671378,0.0224335,0.0322198,0.0638153,0.0237809,316.5,373.5,319
"26","Michigan","MI",0.1950249,0.3672456,0.1666744,933,1356.5,845,0.093255,0.1194612,0.0870349,0.0332233,0.0864346,0.0247128,0.0666395,0.2248276,0.0448824,0.0469073,0.1395776,0.036698,220,221,209
"27","Minnesota","MN",0.0967742,0.1882353,0.0892427,963.5,1382.5,886,0.0187151,0.0294118,0.0179417,0.0155164,0.0490196,0.0143369,0.032375,0.0847458,0.0282486,0.0286663,0.0684524,0.0255765,240,NA,235
"28","Mississippi","MS",0.2873211,0.4063807,0.221266,1177,1282,1069,0.1489008,0.1919456,0.1218767,0.0323575,0.0369276,0.0254833,0.101569,0.1373913,0.0756757,0.0770198,0.1207951,0.0584538,194,189,196
"29","Missouri","MO",0.2536066,0.4778535,0.2238349,1174.5,1667,1089,0.1399913,0.2308348,0.1267595,0.0285992,0.0809061,0.0248378,0.0854981,0.1853035,0.071699,0.0518216,0.1452785,0.0423793,241,243,214.5
"30","Montana","MT",0.1816444,0.4142857,0.1767293,775,NA,797,0.0929254,0.2,0.0903639,0.0266344,NA,0.0250627,0.0366552,NA,0.0334928,0.0287044,NA,0.0277338,NA,NA,NA
"31","Nebraska","NE",0.1324133,0.2246154,0.1165389,1157,1374,1081,0.04047,0.0676923,0.0348302,0.012024,0.0185185,0.0126027,0.0333745,0.0366972,0.0322344,0.0381058,0.0671642,0.0349382,290,NA,291.5
"32","Nevada","NV",0.2372125,0.280974,0.2005175,1292,1245,1377,0.1151161,0.1188119,0.1177232,0.0381005,0.0602941,0.010142,0.0606319,0.0801249,0.0472313,0.0488285,0.060844,0.0352609,339.5,292,479.5
"33","New Hampshire","NH",0.1153082,NA,0.1153737,1068,NA,1068,0.0394774,NA,0.0394999,0.0151611,NA,0.0151707,0.0343096,NA,0.0343096,0.0341839,NA,0.0342169,255,NA,255
"34","New Jersey","NJ",0.1331672,0.2091605,0.0918782,866,873,801,0.0694018,0.1027266,0.0520745,0.0188536,0.0319489,0.0133146,0.0471052,0.0818414,0.0245198,0.034487,0.0615544,0.0217493,298,292,295
"35","New Mexico","NM",0.2550047,0.2733291,0.1508772,994,998,NA,0.1304023,0.137768,0.0877193,0.0494845,0.0559567,0,0.0726872,0.083181,0.0422535,0.042394,0.0505201,0.013245,320,314.5,NA
"36","New York","NY",0.1194482,0.1453541,0.1030504,1026,1135.5,911,0.0359831,0.0271764,0.0411328,0.0228382,0.0324292,0.0182927,0.0552181,0.1045173,0.0346712,0.0442592,0.0714154,0.0287873,280,284,267.5
"37","North Carolina","NC",0.2581128,0.3474202,0.2178879,1065.5,1135,1028.5,0.1482617,0.1839783,0.1328413,0.0252427,0.0423504,0.0161481,0.0687732,0.1015059,0.0545113,0.0575973,0.09358,0.046729,293,235.5,327
"38","North Dakota","ND",0.1482321,0.2692308,0.1461934,1307,NA,1330,0.057117,0.1538462,0.0551144,0.020595,NA,0.0208333,0.03125,NA,0.0308483,0.0382903,NA,0.0387387,NA,NA,NA
"39","Ohio","OH",0.2379647,0.4184906,0.2086473,995,1223,940,0.1195429,0.1569811,0.115247,0.0235294,0.0741656,0.0179464,0.0651274,0.157967,0.0528605,0.0511849,0.1177606,0.0422413,270,244.5,269
"40","Oklahoma","OK",0.2949673,0.4162487,0.2614047,1266,1421,1206.5,0.178234,0.2437312,0.1606689,0.0420139,0.1030303,0.0364411,0.0620333,0.0961538,0.057524,0.0493274,0.0576923,0.0435474,227,NA,216
"41","Oregon","OR",0.1278173,NA,0.127488,884.5,NA,865.5,0.035861,NA,0.0355253,0.0157798,NA,0.0152878,0.0376614,NA,0.0349523,0.0340402,NA,0.0355378,296,NA,314
"42","Pennsylvania","PA",0.1621036,0.3009443,0.134724,975.5,1128,926.5,0.0648053,0.0733101,0.0625047,0.02467,0.0556701,0.0198585,0.0432805,0.1075697,0.03267,0.0478779,0.1196148,0.0366389,246,210.5,270
"44","Rhode Island","RI",0.1419972,0.2232558,0.0975984,1177,1129.5,1177,0.0332861,0.0418605,0.0194175,0.0157155,0.0184332,0.0129171,0.0569948,0.141791,0.0303797,0.0480296,0.0994318,0.0320902,319,NA,NA
"45","South Carolina","SC",0.3033795,0.4340949,0.2576542,1366,1659,1308,0.1756929,0.2032806,0.1604007,0.0301961,0.0597484,0.0226638,0.0928375,0.152439,0.0757956,0.0621891,0.1193353,0.049711,258.5,155,306
"46","South Dakota","SD",0.1158911,0.2236842,0.1108566,1316.5,NA,1429.5,0.0223881,0.0789474,0.0201557,0.0146915,NA,0.015121,0.0408685,NA,0.0382586,0.0309859,NA,0.0305635,NA,NA,NA
"47","Tennessee","TN",0.2626933,0.3775351,0.2366439,1177,1314.5,1099,0.1377133,0.148986,0.1359051,0.0322581,0.0619977,0.0245273,0.0772517,0.1494083,0.0628652,0.0561863,0.1220703,0.0422599,242,316,231
"48","Texas","TX",0.2745753,0.3165419,0.2275305,1309,1387,1185.5,0.1456919,0.1544484,0.1407767,0.0269742,0.0333859,0.0203046,0.0855835,0.1064057,0.0538932,0.0474169,0.0593087,0.0340024,295,275,355
"49","Utah","UT",0.1483952,0.2872727,0.1375892,1362,1575,1321,0.0897874,0.1490909,0.0849625,0.0287194,NA,0.0277918,0.0280094,0.0306122,0.0278704,0.0299428,0.0402685,0.0290091,275.5,NA,254.5
"50","Vermont","VT",0.1120332,NA,0.1118056,900,NA,902,0.0401107,NA,0.0395833,0.0198676,NA,0.0199336,0.0256917,NA,0.0258449,0.0258856,NA,0.0259563,NA,NA,NA
"51","Virginia","VA",0.1876527,0.2522891,0.1641778,1137,1342,1044,0.1105028,0.1342169,0.1031879,0.0199637,0.0339384,0.0135515,0.0550024,0.0748752,0.0460526,0.0425799,0.0611973,0.0358465,248,206.5,276.5
"53","Washington","WA",0.1249151,0.1570338,0.1171502,978,1128,898.5,0.0440416,0.0539804,0.0397278,0.0193578,0.0114286,0.0188987,0.0336576,0.0418251,0.0290468,0.0316116,0.0354906,0.0313013,278,NA,307
"54","West Virginia","WV",0.3084393,NA,0.3084589,811.5,NA,816,0.2023121,NA,0.2023175,0.0338196,NA,0.0338421,0.0447871,NA,0.0448529,0.0548223,NA,0.054878,279.5,NA,279.5
"55","Wisconsin","WI",0.1853318,0.4044701,0.1607423,1054,1208,1016,0.1074032,0.1939438,0.0977873,0.0175713,0.0773333,0.0130318,0.0490543,0.1404494,0.0406127,0.0318578,0.0982659,0.0262881,272,205,290
"56","Wyoming","WY",0.2476636,NA,0.2469554,1504,NA,1580,0.1662216,NA,0.1664411,0.0357143,NA,0.0359281,0.0520646,NA,0.0526316,0.035061,NA,0.0351682,NA,NA,NA
