id,state,abbr,autoopen_pct,autoopen_pct_nw,autoopen_pct_wh,autoretopen_pct,autoretopen_pct_nw,autoretopen_pct_wh,autoretdelrate,autoretdelrate_wh,autoretdelrate_nw,autoretdelrate_sub,autoretdelrate_near,autoretdelrate_prime,popnonwhite_pct,poprural_pct,HHinc_avg,HHinc_avg_wh,HHinc_avg_nw
USA,USA,,0.2998843,0.2539552,0.3212453,0.3435014,0.3003459,0.364943,0.0409978,0.0306213,0.0679899,0.1252433,0.0356038,0.0047404,0.388849795,0.192690283,81346.28125,88047.16406,67096.53906
1,Alabama,AL,0.2803523,0.2247466,0.2954473,0.3535469,0.2876689,0.3696875,0.0852966,0.0715821,0.13515,0.2143558,0.0684779,0.0087146,0.342597187,0.409631819,64631.93359,72025.33594,48610.14063
2,Alaska,AK,0.2832796,0.1061844,0.3055121,0.3314601,0.2053676,0.3474178,0.0334338,0.0282598,0.0331492,0.1148867,0.028133,0.0014437,0.389728189,0.339802116,93312.125,100032.1406,77225.96875
4,Arizona,AZ,0.3118955,0.2836178,0.3287317,0.3474942,0.3297603,0.3614483,0.0445275,0.0265788,0.0860434,0.1180905,0.0387324,0.0054461,0.44673425,0.101901792,74052.80469,81435.15625,59921.71875
5,Arkansas,AR,0.3206198,0.2700466,0.3323045,0.3682902,0.2982411,0.382689,0.0465384,0.0414349,0.0759494,0.1229849,0.0410374,0.0063964,0.27207315,0.438396752,61167.11719,65659.02344,46634.16016
6,California,CA,0.2740603,0.2649113,0.283098,0.310319,0.3092033,0.3093041,0.0364176,0.0181753,0.0485123,0.1093393,0.0348993,0.0056315,0.624822378,0.050473835,96960.76563,112628.7109,82336.96875
8,Colorado,CO,0.3175981,0.2733839,0.3273256,0.3560302,0.3121939,0.3640372,0.0298238,0.0234952,0.0560461,0.1158664,0.0291457,0.0034351,0.314736545,0.138478398,88245.83594,95219.17969,66641.38281
9,Connecticut,CT,0.3011123,0.2077432,0.3306517,0.3252403,0.2301228,0.3541264,0.0279924,0.0190921,0.0674112,0.1034925,0.028,0.0030574,0.325653195,0.120073684,105254.8984,117887.5625,71865.17188
10,Delaware,DE,0.3305498,0.2731501,0.3404384,0.3739722,0.3162791,0.3825639,0.0406918,0.031348,0.0563565,0.1316239,0.0251509,0.0037496,0.372594297,0.167033434,81349.5,88045.35938,67021.58594
11,District of Columbia,DC,0.1771892,0.1989766,0.1482583,0.2024255,0.2285088,0.1631266,0.0510601,0.0155039,0.065666,0.1319073,0.0333333,0.0064725,0.637117028,0,114431.9844,171095.125,76011.60156
12,Florida,FL,0.3054583,0.2808815,0.3181011,0.3338501,0.3028795,0.3502981,0.0377365,0.0294276,0.0521856,0.1068639,0.0304744,0.0056791,0.453175604,0.08836969,72784,80207.91406,60201.15625
13,Georgia,GA,0.2898245,0.2660324,0.3065146,0.3408311,0.3097476,0.362108,0.0586854,0.04289,0.0869095,0.140059,0.0408313,0.0056738,0.468022168,0.24933821,75363.04688,86354.46094,60304.01172
15,Hawaii,HI,0.2436967,0.2457636,0.3146068,0.318514,0.3240487,0.3876404,0.0327209,0.0144928,0.0332663,0.1152074,0.0336634,0.0040305,0.779328346,0.080726251,95903.61719,103017.7422,92790.14063
16,Idaho,ID,0.3262074,0.2962963,0.3284019,0.3818195,0.3703704,0.384019,0.027117,0.0258533,0.0952381,0.107837,0.0230986,0.0040498,0.17660743,0.294218749,68005.83594,70177.44531,53378.10547
17,Illinois,IL,0.2908924,0.2282853,0.3188459,0.3309632,0.2700537,0.3604297,0.034927,0.0259613,0.0715163,0.1125375,0.0310198,0.0039048,0.383927405,0.115121298,84561.27344,92623.57813,67212.78125
18,Indiana,IN,0.3090561,0.2414833,0.3188648,0.3575882,0.2751729,0.3691414,0.0371905,0.0325865,0.0815697,0.1140885,0.0311863,0.0037433,0.204972744,0.275563926,69612.27344,72618.07031,54626.41016
19,Iowa,IA,0.3373217,0.2282609,0.3407486,0.3854119,0.2663043,0.3885742,0.0252974,0.0241406,0.0612245,0.1083086,0.0291053,0.0028731,0.135959744,0.359806716,73644.28906,75475.89063,56914.17578
20,Kansas,KS,0.3029977,0.1947891,0.3125494,0.345207,0.2328371,0.3550297,0.0294377,0.0262675,0.0500864,0.106113,0.025522,0.0038458,0.237612069,0.258018434,73384.80469,76928.95313,57759.63281
21,Kentucky,KY,0.2760217,0.1372855,0.2799835,0.34636,0.1716069,0.3523355,0.0460555,0.0452817,0.0748899,0.128067,0.0441335,0.0070615,0.151279211,0.416195273,64852.35547,67021.57031,50067.59766
22,Louisiana,LA,0.2994308,0.2593128,0.3191663,0.3662781,0.3218083,0.3861519,0.0673585,0.0546569,0.1029316,0.1589736,0.0524509,0.006864,0.411619484,0.268137485,65695.82031,77438.14844,45986.59766
23,Maine,ME,0.3690716,N/A,0.3702964,0.4127907,N/A,0.4141039,0.0220928,0.0220171,N/A,0.0876934,0.0196078,0.0025185,0.065995812,0.613401771,70392.40625,70808.82813,62222.28906
24,Maryland,MD,0.3165126,0.2881198,0.3395082,0.3486995,0.3242325,0.3708714,0.0365185,0.0247046,0.0561675,0.1090705,0.0297453,0.0035387,0.48598814,0.128035739,102401.8281,114617.0469,86500.15625
25,Massachusetts,MA,0.3065429,0.2262805,0.3257174,0.3323294,0.2624576,0.3505338,0.0210811,0.0165686,0.0472159,0.0895725,0.0207337,0.0033701,0.276420712,0.08027944,101911.2188,108978.3594,77318.98438
26,Michigan,MI,0.3174997,0.2045414,0.3343603,0.3613788,0.2354894,0.3806333,0.0296721,0.0236146,0.0952037,0.107332,0.026435,0.0033224,0.247108757,0.254327655,72580.82031,77084.67188,56070.79688
27,Minnesota,MN,0.3133739,0.2124044,0.3194072,0.3577431,0.2531861,0.3644478,0.0193191,0.017518,0.0561056,0.0979778,0.021679,0.0028168,0.194887221,0.267276406,86414.98438,89677.625,65638.875
28,Mississippi,MS,0.3022979,0.2589662,0.3275087,0.3855855,0.3359367,0.4118368,0.069288,0.054145,0.0997059,0.1440273,0.0605531,0.0094294,0.431784332,0.506546199,58974.20703,69902.39063,42370.32031
29,Missouri,MO,0.3171843,0.2269971,0.3292437,0.3651449,0.2624572,0.3793216,0.0429133,0.0374207,0.0928778,0.1302682,0.0395425,0.0043649,0.203664184,0.295638263,70871.34375,73970.98438,56251.72266
30,Montana,MT,0.2886311,0.2758621,0.2910661,0.349056,0.3407708,0.3518319,0.0240175,0.0200501,0.1257143,0.0956417,0.0238871,0.0029978,0.135859251,0.441069722,69307.79688,70919.10938,53306.66406
31,Nebraska,NE,0.3301937,0.2585734,0.3438831,0.3793921,0.3182442,0.3929106,0.0228581,0.021122,0.0440252,0.0949445,0.0223555,0.0028762,0.203013897,0.268654644,74585.55469,77806.80469,55833.42578
32,Nevada,NV,0.3053895,0.2605192,0.3341447,0.3387311,0.2971759,0.3700328,0.0432657,0.0262479,0.0683041,0.1185205,0.0291351,0.004747,0.502188087,0.05804519,73383.28906,82133.25781,60544.25391
33,New Hampshire,NH,0.3926749,N/A,0.3934634,0.4223385,N/A,0.4230047,0.0217391,0.0215967,N/A,0.0995608,0.0170604,0.0028507,0.092687666,0.396969169,90910.47656,91767.92969,79234.85938
34,New Jersey,NJ,0.2773526,0.20692,0.3150925,0.3015117,0.237201,0.3368986,0.0283956,0.0204025,0.0509579,0.1024776,0.0282968,0.0037757,0.444712162,0.053204462,105185.3359,117337.3594,85574.85938
35,New Mexico,NM,0.3097194,0.3061315,0.3042645,0.371597,0.3807423,0.3497844,0.0680666,0.0445645,0.088027,0.1580792,0.0545666,0.0051102,0.621699035,0.225729764,64514.66016,76275.11719,53892.51563
36,New York,NY,0.2569935,0.1538324,0.3325581,0.2889074,0.1943434,0.3614267,0.0282244,0.021351,0.0491029,0.1044396,0.0261847,0.0045929,0.444813728,0.121270753,93373.30469,105951.3828,72665.91406
37,North Carolina,NC,0.2878391,0.2674605,0.292205,0.3411812,0.3221836,0.3444063,0.0455938,0.0357791,0.074369,0.1225398,0.0403315,0.0058396,0.365480602,0.339125663,70544.03125,77954.47656,54299.33594
38,North Dakota,ND,0.3382991,0.2733119,0.342489,0.4043586,0.3472669,0.4078017,0.0200543,0.0187241,0.0825688,0.0807018,0.0245478,0.0033343,0.149406374,0.401014894,79184.99219,82642.05469,53106.82813
39,Ohio,OH,0.3163243,0.2468079,0.3260785,0.3488162,0.2711432,0.3600539,0.0338181,0.028964,0.0791867,0.1089262,0.0296984,0.0042976,0.206457734,0.220760986,71456.22656,75894.40625,51566.26953
40,Oklahoma,OK,0.3074702,0.2169855,0.3249605,0.3708664,0.2743817,0.3901063,0.0559435,0.0490516,0.0968006,0.1555729,0.0413448,0.0051546,0.338467777,0.33756426,66546.61719,71178.9375,54594.4375
41,Oregon,OR,0.2775622,0.38,0.2812505,0.316794,0.43,0.3212951,0.0213929,0.0199152,0.0465116,0.0815567,0.029808,0.0026045,0.23794049,0.189683631,77460.20313,79375.14063,68170.4375
42,Pennsylvania,PA,0.3317443,0.1936093,0.351926,0.3718497,0.2353322,0.3923447,0.0295398,0.0244978,0.0866386,0.1065311,0.0284392,0.003365,0.230917335,0.213431835,78053.21875,82405.78125,59196.76172
44,Rhode Island,RI,0.3066267,0.1945039,0.3322953,0.3310944,0.2234118,0.3563725,0.0278577,0.0241423,0.0564263,0.0974808,0.0244941,0.0054239,0.272249103,0.092653483,81214.75781,87096.10938,58782.12109
45,South Carolina,SC,0.2777342,0.2604187,0.2888262,0.3498601,0.3498504,0.3529356,0.0831414,0.0641661,0.1243199,0.1991221,0.0580928,0.0068594,0.362750828,0.336742133,67888.74219,77638.66406,47375.60547
46,South Dakota,SD,0.3255917,0.1967593,0.3330716,0.3815964,0.2546296,0.3889892,0.0200842,0.0168675,0.137931,0.1015762,0.0243902,0.0021657,0.175790966,0.433482766,71384.92188,75164.92188,42000.61328
47,Tennessee,TN,0.2926249,0.2156175,0.3042743,0.3597189,0.2682438,0.3754231,0.0637006,0.0584548,0.1078779,0.1775155,0.0483185,0.0058796,0.258862376,0.336089611,68104.39063,72531.875,53049.51563
48,Texas,TX,0.3216219,0.2907995,0.347569,0.3801421,0.3596054,0.3980306,0.0686001,0.0444153,0.0942324,0.1579509,0.0495706,0.0073471,0.574918866,0.153009996,80345.96875,96875.64844,63610.03516
49,Utah,UT,0.3652844,0.2521009,0.3705262,0.4037014,0.3053221,0.4084454,0.0245955,0.0233335,0.0680473,0.096528,0.025816,0.0029762,0.21302551,0.094175406,84116.64844,88136.28125,64011.82422
50,Vermont,VT,0.4018025,N/A,0.4041506,0.4364439,N/A,0.4388031,0.0270558,0.0270211,N/A,0.1482759,0.0204678,0.0021328,0.07041055,0.611045122,75853.59375,76473.54688,64735.44531
51,Virginia,VA,0.3079889,0.2930675,0.3142096,0.3510849,0.3363087,0.3588766,0.0357997,0.0313951,0.0523519,0.1197661,0.032869,0.0038713,0.377593517,0.245459825,93938.80469,100801.1328,79693.78906
53,Washington,WA,0.2865529,0.2690642,0.2898392,0.3310987,0.3005084,0.3372622,0.0226506,0.019802,0.0291022,0.0968468,0.0246968,0.0025316,0.306593597,0.159515887,90314.65625,93303.23438,80600.97656
54,West Virginia,WV,0.3121215,n<50,0.3133005,0.3742346,n<50,0.3759607,0.0433197,0.0430293,n<50,0.1310554,0.0369407,0.0038238,0.07982409,0.51278311,60164.45703,60574.44141,53889.07031
55,Wisconsin,WI,0.3104943,0.2023678,0.3218817,0.3575095,0.2460077,0.3690328,0.0263701,0.0223196,0.0859459,0.1174362,0.0223382,0.0026233,0.183526993,0.298461795,75112.54688,78058.17188,56502.44531
56,Wyoming,WY,0.3514283,0.2711864,0.3545549,0.4095436,0.3220339,0.4139368,0.0233608,0.0238889,0.0526316,0.0979667,0.0191693,0.00164,0.156144917,0.352419853,75574.10938,77313.8125,62406.15234